sample_id,scene_id,split,scene_class,patch_type,has_oil,oil_pixels,oil_fraction,vv_mean_db,vh_mean_db,channels,shape
S1A_IW_GRDH_1SDV_2026_003_patch_03,S1A_IW_GRDH_1SDV_2026_003,train,oil_event,oil,True,1401,0.0214,-18.2,-25.66,2,2x256x256
S1A_IW_GRDH_1SDV_2026_004_patch_00,S1A_IW_GRDH_1SDV_2026_004,test,oil_event,oil,True,1301,0.0199,-18.22,-25.63,2,2x256x256
S1A_IW_GRDH_1SDV_2026_004_patch_01,S1A_IW_GRDH_1SDV_2026_004,test,oil_event,oil,True,1457,0.0222,-18.25,-25.66,2,2x256x256
S1A_IW_GRDH_1SDV_2026_004_patch_02,S1A_IW_GRDH_1SDV_2026_004,test,oil_event,oil,True,4905,0.0748,-18.78,-25.98,2,2x256x256
S1A_IW_GRDH_1SDV_2026_004_patch_03,S1A_IW_GRDH_1SDV_2026_004,test,oil_event,oil,True,2966,0.0453,-18.53,-25.82,2,2x256x256
S1A_IW_GRDH_1SDV_2026_005_patch_00,S1A_IW_GRDH_1SDV_2026_005,val,oil_event,oil,True,1362,0.0208,-18.21,-25.66,2,2x256x256
S1A_IW_GRDH_1SDV_2026_005_patch_01,S1A_IW_GRDH_1SDV_2026_005,val,oil_event,oil,True,3307,0.0505,-18.6,-25.79,2,2x256x256
S1A_IW_GRDH_1SDV_2026_005_patch_02,S1A_IW_GRDH_1SDV_2026_005,val,oil_event,oil,True,7485,0.1142,-19.09,-26.29,2,2x256x256
S1A_IW_GRDH_1SDV_2026_005_patch_03,S1A_IW_GRDH_1SDV_2026_005,val,oil_event,oil,True,5341,0.0815,-18.78,-26.0,2,2x256x256
S1A_IW_GRDH_1SDV_2026_006_patch_00,S1A_IW_GRDH_1SDV_2026_006,train,oil_event,oil,True,3419,0.0522,-18.49,-25.82,2,2x256x256
S1A_IW_GRDH_1SDV_2026_006_patch_01,S1A_IW_GRDH_1SDV_2026_006,train,oil_event,oil,True,835,0.0127,-18.12,-25.58,2,2x256x256
S1A_IW_GRDH_1SDV_2026_006_patch_02,S1A_IW_GRDH_1SDV_2026_006,train,oil_event,oil,True,3247,0.0495,-18.42,-25.79,2,2x256x256
S1A_IW_GRDH_1SDV_2026_006_patch_03,S1A_IW_GRDH_1SDV_2026_006,train,oil_event,oil,True,2289,0.0349,-18.34,-25.76,2,2x256x256
S1A_IW_GRDH_1SDV_2026_007_patch_00,S1A_IW_GRDH_1SDV_2026_007,train,oil_event,oil,True,6057,0.0924,-18.81,-26.19,2,2x256x256
S1A_IW_GRDH_1SDV_2026_007_patch_01,S1A_IW_GRDH_1SDV_2026_007,train,oil_event,oil,True,5198,0.0793,-18.9,-26.08,2,2x256x256
S1A_IW_GRDH_1SDV_2026_007_patch_02,S1A_IW_GRDH_1SDV_2026_007,train,oil_event,oil,True,1613,0.0246,-18.29,-25.65,2,2x256x256
S1A_IW_GRDH_1SDV_2026_007_patch_03,S1A_IW_GRDH_1SDV_2026_007,train,oil_event,oil,True,1880,0.0287,-18.34,-25.72,2,2x256x256
S1A_IW_GRDH_1SDV_2026_008_patch_00,S1A_IW_GRDH_1SDV_2026_008,val,oil_event,oil,True,5678,0.0866,-18.81,-26.03,2,2x256x256
S1A_IW_GRDH_1SDV_2026_008_patch_01,S1A_IW_GRDH_1SDV_2026_008,val,oil_event,oil,True,3448,0.0526,-18.5,-25.82,2,2x256x256
S1A_IW_GRDH_1SDV_2026_008_patch_02,S1A_IW_GRDH_1SDV_2026_008,val,oil_event,oil,True,3875,0.0591,-18.63,-25.97,2,2x256x256
S1A_IW_GRDH_1SDV_2026_008_patch_03,S1A_IW_GRDH_1SDV_2026_008,val,oil_event,oil,True,1561,0.0238,-18.25,-25.64,2,2x256x256
S1A_IW_GRDH_1SDV_2026_009_patch_00,S1A_IW_GRDH_1SDV_2026_009,val,oil_event,oil,True,3587,0.0547,-18.57,-25.81,2,2x256x256
S1A_IW_GRDH_1SDV_2026_009_patch_01,S1A_IW_GRDH_1SDV_2026_009,val,oil_event,oil,True,6740,0.1028,-19.04,-26.13,2,2x256x256
S1A_IW_GRDH_1SDV_2026_009_patch_02,S1A_IW_GRDH_1SDV_2026_009,val,oil_event,oil,True,2948,0.045,-18.49,-25.86,2,2x256x256
S1A_IW_GRDH_1SDV_2026_009_patch_03,S1A_IW_GRDH_1SDV_2026_009,val,oil_event,oil,True,2633,0.0402,-18.47,-25.82,2,2x256x256
S1A_IW_GRDH_1SDV_2026_010_patch_00,S1A_IW_GRDH_1SDV_2026_010,train,oil_event,oil,True,1395,0.0213,-18.23,-25.63,2,2x256x256
S1A_IW_GRDH_1SDV_2026_010_patch_01,S1A_IW_GRDH_1SDV_2026_010,train,oil_event,oil,True,1832,0.028,-18.27,-25.67,2,2x256x256
S1A_IW_GRDH_1SDV_2026_010_patch_02,S1A_IW_GRDH_1SDV_2026_010,train,oil_event,oil,True,5185,0.0791,-18.68,-26.07,2,2x256x256
S1A_IW_GRDH_1SDV_2026_010_patch_03,S1A_IW_GRDH_1SDV_2026_010,train,oil_event,oil,True,4754,0.0725,-18.71,-26.02,2,2x256x256
S1A_IW_GRDH_1SDV_2026_011_patch_00,S1A_IW_GRDH_1SDV_2026_011,train,oil_event,oil,True,966,0.0147,-18.14,-25.6,2,2x256x256
S1A_IW_GRDH_1SDV_2026_011_patch_01,S1A_IW_GRDH_1SDV_2026_011,train,oil_event,oil,True,3659,0.0558,-18.54,-25.9,2,2x256x256
S1A_IW_GRDH_1SDV_2026_011_patch_02,S1A_IW_GRDH_1SDV_2026_011,train,oil_event,oil,True,2935,0.0448,-18.5,-25.75,2,2x256x256
S1A_IW_GRDH_1SDV_2026_011_patch_03,S1A_IW_GRDH_1SDV_2026_011,train,oil_event,oil,True,3608,0.0551,-18.5,-25.82,2,2x256x256
S1A_IW_GRDH_1SDV_2026_012_patch_00,S1A_IW_GRDH_1SDV_2026_012,train,oil_event,oil,True,1410,0.0215,-18.24,-25.62,2,2x256x256
S1A_IW_GRDH_1SDV_2026_012_patch_01,S1A_IW_GRDH_1SDV_2026_012,train,oil_event,oil,True,2650,0.0404,-18.48,-25.82,2,2x256x256
S1A_IW_GRDH_1SDV_2026_012_patch_02,S1A_IW_GRDH_1SDV_2026_012,train,oil_event,oil,True,3984,0.0608,-18.73,-25.98,2,2x256x256
S1A_IW_GRDH_1SDV_2026_012_patch_03,S1A_IW_GRDH_1SDV_2026_012,train,oil_event,oil,True,5369,0.0819,-18.69,-26.07,2,2x256x256
S1A_IW_GRDH_1SDV_2026_013_patch_00,S1A_IW_GRDH_1SDV_2026_013,train,oil_event,oil,True,3176,0.0485,-18.48,-25.87,2,2x256x256
S1A_IW_GRDH_1SDV_2026_013_patch_01,S1A_IW_GRDH_1SDV_2026_013,train,oil_event,oil,True,1789,0.0273,-18.32,-25.67,2,2x256x256
S1A_IW_GRDH_1SDV_2026_013_patch_02,S1A_IW_GRDH_1SDV_2026_013,train,oil_event,oil,True,1111,0.017,-18.17,-25.63,2,2x256x256
S1A_IW_GRDH_1SDV_2026_013_patch_03,S1A_IW_GRDH_1SDV_2026_013,train,oil_event,oil,True,4878,0.0744,-18.85,-25.96,2,2x256x256
S1A_IW_GRDH_1SDV_2026_014_patch_00,S1A_IW_GRDH_1SDV_2026_014,train,oil_event,oil,True,5541,0.0845,-18.82,-26.13,2,2x256x256
S1A_IW_GRDH_1SDV_2026_014_patch_01,S1A_IW_GRDH_1SDV_2026_014,train,oil_event,oil,True,2611,0.0398,-18.37,-25.79,2,2x256x256
S1A_IW_GRDH_1SDV_2026_014_patch_02,S1A_IW_GRDH_1SDV_2026_014,train,oil_event,oil,True,3755,0.0573,-18.56,-25.87,2,2x256x256
S1A_IW_GRDH_1SDV_2026_014_patch_03,S1A_IW_GRDH_1SDV_2026_014,train,oil_event,oil,True,3119,0.0476,-18.53,-25.87,2,2x256x256
S1A_IW_GRDH_1SDV_2026_015_patch_00,S1A_IW_GRDH_1SDV_2026_015,train,oil_event,oil,True,983,0.015,-18.17,-25.59,2,2x256x256
S1A_IW_GRDH_1SDV_2026_015_patch_01,S1A_IW_GRDH_1SDV_2026_015,train,oil_event,oil,True,3757,0.0573,-18.62,-25.86,2,2x256x256
S1A_IW_GRDH_1SDV_2026_015_patch_02,S1A_IW_GRDH_1SDV_2026_015,train,oil_event,oil,True,2065,0.0315,-18.35,-25.74,2,2x256x256
S1A_IW_GRDH_1SDV_2026_015_patch_03,S1A_IW_GRDH_1SDV_2026_015,train,oil_event,oil,True,1149,0.0175,-18.21,-25.6,2,2x256x256
S1A_IW_GRDH_1SDV_2026_016_patch_00,S1A_IW_GRDH_1SDV_2026_016,train,oil_event,oil,True,1166,0.0178,-18.18,-25.62,2,2x256x256
S1A_IW_GRDH_1SDV_2026_016_patch_01,S1A_IW_GRDH_1SDV_2026_016,train,oil_event,oil,True,4443,0.0678,-18.76,-25.94,2,2x256x256
S1A_IW_GRDH_1SDV_2026_016_patch_02,S1A_IW_GRDH_1SDV_2026_016,train,oil_event,oil,True,1044,0.0159,-18.17,-25.6,2,2x256x256
S1A_IW_GRDH_1SDV_2026_016_patch_03,S1A_IW_GRDH_1SDV_2026_016,train,oil_event,oil,True,1777,0.0271,-18.26,-25.7,2,2x256x256
S1A_IW_GRDH_1SDV_2026_017_patch_00,S1A_IW_GRDH_1SDV_2026_017,train,oil_event,oil,True,921,0.0141,-18.15,-25.61,2,2x256x256
S1A_IW_GRDH_1SDV_2026_017_patch_01,S1A_IW_GRDH_1SDV_2026_017,train,oil_event,oil,True,6678,0.1019,-18.88,-26.08,2,2x256x256
S1A_IW_GRDH_1SDV_2026_017_patch_02,S1A_IW_GRDH_1SDV_2026_017,train,oil_event,oil,True,4257,0.065,-18.65,-25.97,2,2x256x256
S1A_IW_GRDH_1SDV_2026_017_patch_03,S1A_IW_GRDH_1SDV_2026_017,train,oil_event,oil,True,799,0.0122,-18.14,-25.59,2,2x256x256
S1A_IW_GRDH_1SDV_2026_018_patch_00,S1A_IW_GRDH_1SDV_2026_018,train,oil_event,oil,True,1868,0.0285,-18.33,-25.66,2,2x256x256
S1A_IW_GRDH_1SDV_2026_018_patch_01,S1A_IW_GRDH_1SDV_2026_018,train,oil_event,oil,True,1063,0.0162,-18.16,-25.62,2,2x256x256
S1A_IW_GRDH_1SDV_2026_018_patch_02,S1A_IW_GRDH_1SDV_2026_018,train,oil_event,oil,True,4498,0.0686,-18.6,-25.96,2,2x256x256
S1A_IW_GRDH_1SDV_2026_018_patch_03,S1A_IW_GRDH_1SDV_2026_018,train,oil_event,oil,True,2525,0.0385,-18.43,-25.71,2,2x256x256
S1A_IW_GRDH_1SDV_2026_019_patch_00,S1A_IW_GRDH_1SDV_2026_019,train,oil_event,oil,True,4632,0.0707,-18.62,-25.92,2,2x256x256
S1A_IW_GRDH_1SDV_2026_019_patch_01,S1A_IW_GRDH_1SDV_2026_019,train,oil_event,oil,True,3254,0.0497,-18.44,-25.78,2,2x256x256
S1A_IW_GRDH_1SDV_2026_019_patch_02,S1A_IW_GRDH_1SDV_2026_019,train,oil_event,oil,True,4832,0.0737,-18.84,-26.06,2,2x256x256
S1A_IW_GRDH_1SDV_2026_019_patch_03,S1A_IW_GRDH_1SDV_2026_019,train,oil_event,oil,True,5950,0.0908,-18.92,-26.04,2,2x256x256
S1A_IW_GRDH_1SDV_2026_020_patch_00,S1A_IW_GRDH_1SDV_2026_020,val,oil_event,oil,True,1429,0.0218,-18.27,-25.65,2,2x256x256
S1A_IW_GRDH_1SDV_2026_020_patch_01,S1A_IW_GRDH_1SDV_2026_020,val,oil_event,oil,True,3248,0.0496,-18.58,-25.79,2,2x256x256
S1A_IW_GRDH_1SDV_2026_020_patch_02,S1A_IW_GRDH_1SDV_2026_020,val,oil_event,oil,True,4238,0.0647,-18.59,-25.96,2,2x256x256
S1A_IW_GRDH_1SDV_2026_020_patch_03,S1A_IW_GRDH_1SDV_2026_020,val,oil_event,oil,True,746,0.0114,-18.1,-25.57,2,2x256x256
S1A_IW_GRDH_1SDV_2026_021_patch_00,S1A_IW_GRDH_1SDV_2026_021,test,oil_event,oil,True,4727,0.0721,-18.7,-25.97,2,2x256x256
S1A_IW_GRDH_1SDV_2026_021_patch_01,S1A_IW_GRDH_1SDV_2026_021,test,oil_event,oil,True,5000,0.0763,-18.74,-26.01,2,2x256x256
S1A_IW_GRDH_1SDV_2026_021_patch_02,S1A_IW_GRDH_1SDV_2026_021,test,oil_event,oil,True,1708,0.0261,-18.29,-25.69,2,2x256x256
S1A_IW_GRDH_1SDV_2026_021_patch_03,S1A_IW_GRDH_1SDV_2026_021,test,oil_event,oil,True,2262,0.0345,-18.34,-25.7,2,2x256x256
S1A_IW_GRDH_1SDV_2026_022_patch_00,S1A_IW_GRDH_1SDV_2026_022,train,oil_event,oil,True,4862,0.0742,-18.7,-25.99,2,2x256x256
S1A_IW_GRDH_1SDV_2026_022_patch_01,S1A_IW_GRDH_1SDV_2026_022,train,oil_event,oil,True,7747,0.1182,-19.17,-26.16,2,2x256x256
S1A_IW_GRDH_1SDV_2026_022_patch_02,S1A_IW_GRDH_1SDV_2026_022,train,oil_event,oil,True,1918,0.0293,-18.3,-25.72,2,2x256x256
S1A_IW_GRDH_1SDV_2026_022_patch_03,S1A_IW_GRDH_1SDV_2026_022,train,oil_event,oil,True,3675,0.0561,-18.6,-25.92,2,2x256x256
S1A_IW_GRDH_1SDV_2026_023_patch_00,S1A_IW_GRDH_1SDV_2026_023,train,oil_event,oil,True,2991,0.0456,-18.47,-25.84,2,2x256x256
S1A_IW_GRDH_1SDV_2026_023_patch_01,S1A_IW_GRDH_1SDV_2026_023,train,oil_event,oil,True,902,0.0138,-18.14,-25.58,2,2x256x256
S1A_IW_GRDH_1SDV_2026_023_patch_02,S1A_IW_GRDH_1SDV_2026_023,train,oil_event,oil,True,1548,0.0236,-18.27,-25.65,2,2x256x256
S1A_IW_GRDH_1SDV_2026_023_patch_03,S1A_IW_GRDH_1SDV_2026_023,train,oil_event,oil,True,6045,0.0922,-18.94,-26.22,2,2x256x256
S1A_IW_GRDH_1SDV_2026_024_patch_00,S1A_IW_GRDH_1SDV_2026_024,train,oil_event,oil,True,1411,0.0215,-18.25,-25.65,2,2x256x256
S1A_IW_GRDH_1SDV_2026_024_patch_01,S1A_IW_GRDH_1SDV_2026_024,train,oil_event,oil,True,968,0.0148,-18.15,-25.59,2,2x256x256
S1A_IW_GRDH_1SDV_2026_024_patch_02,S1A_IW_GRDH_1SDV_2026_024,train,oil_event,oil,True,4620,0.0705,-18.7,-26.0,2,2x256x256
S1A_IW_GRDH_1SDV_2026_024_patch_03,S1A_IW_GRDH_1SDV_2026_024,train,oil_event,oil,True,5779,0.0882,-18.9,-26.14,2,2x256x256
S1A_IW_GRDH_1SDV_2026_025_patch_00,S1A_IW_GRDH_1SDV_2026_025,val,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.94,2,2x256x256
S1A_IW_GRDH_1SDV_2026_025_patch_01,S1A_IW_GRDH_1SDV_2026_025,val,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.95,2,2x256x256
S1A_IW_GRDH_1SDV_2026_025_patch_02,S1A_IW_GRDH_1SDV_2026_025,val,lookalike_event,clean_sea,False,0,0.0,-17.96,-25.48,2,2x256x256
S1A_IW_GRDH_1SDV_2026_025_patch_03,S1A_IW_GRDH_1SDV_2026_025,val,lookalike_event,lookalike_biogenic,False,0,0.0,-18.73,-25.97,2,2x256x256
S1A_IW_GRDH_1SDV_2026_026_patch_00,S1A_IW_GRDH_1SDV_2026_026,train,lookalike_event,lookalike_low_wind,False,0,0.0,-19.43,-26.5,2,2x256x256
S1A_IW_GRDH_1SDV_2026_026_patch_01,S1A_IW_GRDH_1SDV_2026_026,train,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.86,-25.41,2,2x256x256
S1A_IW_GRDH_1SDV_2026_026_patch_02,S1A_IW_GRDH_1SDV_2026_026,train,lookalike_event,clean_sea,False,0,0.0,-17.97,-25.47,2,2x256x256
S1A_IW_GRDH_1SDV_2026_026_patch_03,S1A_IW_GRDH_1SDV_2026_026,train,lookalike_event,lookalike_low_wind,False,0,0.0,-19.79,-26.75,2,2x256x256
S1A_IW_GRDH_1SDV_2026_027_patch_00,S1A_IW_GRDH_1SDV_2026_027,val,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.86,-25.4,2,2x256x256
S1A_IW_GRDH_1SDV_2026_027_patch_01,S1A_IW_GRDH_1SDV_2026_027,val,lookalike_event,lookalike_low_wind,False,0,0.0,-19.71,-26.7,2,2x256x256
S1A_IW_GRDH_1SDV_2026_027_patch_02,S1A_IW_GRDH_1SDV_2026_027,val,lookalike_event,clean_sea,False,0,0.0,-17.96,-25.49,2,2x256x256
S1A_IW_GRDH_1SDV_2026_027_patch_03,S1A_IW_GRDH_1SDV_2026_027,val,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.96,2,2x256x256
S1A_IW_GRDH_1SDV_2026_028_patch_00,S1A_IW_GRDH_1SDV_2026_028,train,lookalike_event,clean_sea,False,0,0.0,-17.95,-25.49,2,2x256x256
S1A_IW_GRDH_1SDV_2026_028_patch_01,S1A_IW_GRDH_1SDV_2026_028,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.95,2,2x256x256
S1A_IW_GRDH_1SDV_2026_028_patch_02,S1A_IW_GRDH_1SDV_2026_028,train,lookalike_event,clean_sea,False,0,0.0,-17.96,-25.47,2,2x256x256
S1A_IW_GRDH_1SDV_2026_028_patch_03,S1A_IW_GRDH_1SDV_2026_028,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.02,-25.51,2,2x256x256
S1A_IW_GRDH_1SDV_2026_029_patch_00,S1A_IW_GRDH_1SDV_2026_029,train,lookalike_event,lookalike_low_wind,False,0,0.0,-19.71,-26.7,2,2x256x256
S1A_IW_GRDH_1SDV_2026_029_patch_01,S1A_IW_GRDH_1SDV_2026_029,train,lookalike_event,lookalike_low_wind,False,0,0.0,-19.45,-26.52,2,2x256x256
S1A_IW_GRDH_1SDV_2026_029_patch_02,S1A_IW_GRDH_1SDV_2026_029,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.02,-25.51,2,2x256x256
S1A_IW_GRDH_1SDV_2026_029_patch_03,S1A_IW_GRDH_1SDV_2026_029,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.96,2,2x256x256
S1A_IW_GRDH_1SDV_2026_030_patch_00,S1A_IW_GRDH_1SDV_2026_030,train,lookalike_event,lookalike_low_wind,False,0,0.0,-19.45,-26.51,2,2x256x256
S1A_IW_GRDH_1SDV_2026_030_patch_01,S1A_IW_GRDH_1SDV_2026_030,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.02,-25.53,2,2x256x256
S1A_IW_GRDH_1SDV_2026_030_patch_02,S1A_IW_GRDH_1SDV_2026_030,train,lookalike_event,lookalike_low_wind,False,0,0.0,-19.19,-26.34,2,2x256x256
S1A_IW_GRDH_1SDV_2026_030_patch_03,S1A_IW_GRDH_1SDV_2026_030,train,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.86,-25.42,2,2x256x256
S1A_IW_GRDH_1SDV_2026_031_patch_00,S1A_IW_GRDH_1SDV_2026_031,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.74,-25.95,2,2x256x256
S1A_IW_GRDH_1SDV_2026_031_patch_01,S1A_IW_GRDH_1SDV_2026_031,train,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.87,-25.4,2,2x256x256
S1A_IW_GRDH_1SDV_2026_031_patch_02,S1A_IW_GRDH_1SDV_2026_031,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.74,-25.95,2,2x256x256
S1A_IW_GRDH_1SDV_2026_031_patch_03,S1A_IW_GRDH_1SDV_2026_031,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.01,-25.52,2,2x256x256
S1A_IW_GRDH_1SDV_2026_032_patch_00,S1A_IW_GRDH_1SDV_2026_032,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.96,2,2x256x256
S1A_IW_GRDH_1SDV_2026_032_patch_01,S1A_IW_GRDH_1SDV_2026_032,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.73,-25.96,2,2x256x256
S1A_IW_GRDH_1SDV_2026_032_patch_02,S1A_IW_GRDH_1SDV_2026_032,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.03,-25.52,2,2x256x256
S1A_IW_GRDH_1SDV_2026_032_patch_03,S1A_IW_GRDH_1SDV_2026_032,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.97,2,2x256x256
S1A_IW_GRDH_1SDV_2026_033_patch_00,S1A_IW_GRDH_1SDV_2026_033,test,lookalike_event,lookalike_low_wind,False,0,0.0,-19.35,-26.45,2,2x256x256
S1A_IW_GRDH_1SDV_2026_033_patch_01,S1A_IW_GRDH_1SDV_2026_033,test,lookalike_event,clean_sea,False,0,0.0,-17.95,-25.47,2,2x256x256
S1A_IW_GRDH_1SDV_2026_033_patch_02,S1A_IW_GRDH_1SDV_2026_033,test,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.02,-25.53,2,2x256x256
S1A_IW_GRDH_1SDV_2026_033_patch_03,S1A_IW_GRDH_1SDV_2026_033,test,lookalike_event,clean_sea,False,0,0.0,-17.96,-25.49,2,2x256x256
S1A_IW_GRDH_1SDV_2026_034_patch_00,S1A_IW_GRDH_1SDV_2026_034,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.02,-25.52,2,2x256x256
S1A_IW_GRDH_1SDV_2026_034_patch_01,S1A_IW_GRDH_1SDV_2026_034,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.03,-25.53,2,2x256x256
S1A_IW_GRDH_1SDV_2026_034_patch_02,S1A_IW_GRDH_1SDV_2026_034,train,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.85,-25.43,2,2x256x256
S1A_IW_GRDH_1SDV_2026_034_patch_03,S1A_IW_GRDH_1SDV_2026_034,train,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.87,-25.4,2,2x256x256
S1A_IW_GRDH_1SDV_2026_035_patch_00,S1A_IW_GRDH_1SDV_2026_035,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.97,2,2x256x256
S1A_IW_GRDH_1SDV_2026_035_patch_01,S1A_IW_GRDH_1SDV_2026_035,train,lookalike_event,clean_sea,False,0,0.0,-17.95,-25.48,2,2x256x256
S1A_IW_GRDH_1SDV_2026_035_patch_02,S1A_IW_GRDH_1SDV_2026_035,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.01,-25.52,2,2x256x256
S1A_IW_GRDH_1SDV_2026_035_patch_03,S1A_IW_GRDH_1SDV_2026_035,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.97,2,2x256x256
S1A_IW_GRDH_1SDV_2026_036_patch_00,S1A_IW_GRDH_1SDV_2026_036,train,lookalike_event,lookalike_low_wind,False,0,0.0,-19.41,-26.47,2,2x256x256
S1A_IW_GRDH_1SDV_2026_036_patch_01,S1A_IW_GRDH_1SDV_2026_036,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.03,-25.53,2,2x256x256
S1A_IW_GRDH_1SDV_2026_036_patch_02,S1A_IW_GRDH_1SDV_2026_036,train,lookalike_event,lookalike_low_wind,False,0,0.0,-19.55,-26.58,2,2x256x256
S1A_IW_GRDH_1SDV_2026_036_patch_03,S1A_IW_GRDH_1SDV_2026_036,train,lookalike_event,lookalike_biogenic,False,0,0.0,-18.72,-25.97,2,2x256x256
S1A_IW_GRDH_1SDV_2026_037_patch_00,S1A_IW_GRDH_1SDV_2026_037,test,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.85,-25.4,2,2x256x256
S1A_IW_GRDH_1SDV_2026_037_patch_01,S1A_IW_GRDH_1SDV_2026_037,test,lookalike_event,lookalike_biogenic,False,0,0.0,-18.73,-25.96,2,2x256x256
S1A_IW_GRDH_1SDV_2026_037_patch_02,S1A_IW_GRDH_1SDV_2026_037,test,lookalike_event,lookalike_low_wind,False,0,0.0,-19.44,-26.51,2,2x256x256
S1A_IW_GRDH_1SDV_2026_037_patch_03,S1A_IW_GRDH_1SDV_2026_037,test,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.03,-25.52,2,2x256x256
S1A_IW_GRDH_1SDV_2026_038_patch_00,S1A_IW_GRDH_1SDV_2026_038,test,lookalike_event,clean_sea,False,0,0.0,-17.96,-25.48,2,2x256x256
S1A_IW_GRDH_1SDV_2026_038_patch_01,S1A_IW_GRDH_1SDV_2026_038,test,lookalike_event,lookalike_biogenic,False,0,0.0,-18.73,-25.95,2,2x256x256
S1A_IW_GRDH_1SDV_2026_038_patch_02,S1A_IW_GRDH_1SDV_2026_038,test,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.02,-25.52,2,2x256x256
S1A_IW_GRDH_1SDV_2026_038_patch_03,S1A_IW_GRDH_1SDV_2026_038,test,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.87,-25.42,2,2x256x256
S1A_IW_GRDH_1SDV_2026_039_patch_00,S1A_IW_GRDH_1SDV_2026_039,train,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.85,-25.42,2,2x256x256
S1A_IW_GRDH_1SDV_2026_039_patch_01,S1A_IW_GRDH_1SDV_2026_039,train,lookalike_event,lookalike_internal_wave,False,0,0.0,-17.85,-25.41,2,2x256x256
S1A_IW_GRDH_1SDV_2026_039_patch_02,S1A_IW_GRDH_1SDV_2026_039,train,lookalike_event,lookalike_ship_wake,False,0,0.0,-18.05,-25.53,2,2x256x256
